STATEMENT NOT FOUND,1
** * Pediatric ECG analysis * **,2
** ** ** ** * Pediatric ECG Analysis * ** ** ** **,2
-------------------- PEDIATRIC ECG INTERPRETATION --------------------,2
-------------------- Pediatric ECG interpretation --------------------,2
*** Age and gender specific ECG analysis ***,3
*** AGE AND GENDER SPECIFIC ECG ANALYSIS ***,3
Age and gender specific software,3
** Acute Cardiac Syndrome criteria **,4
Report dictated- transcription pending,5
Leads V2- V3- V4- and V6 are interpolated,6
Waveform is valid only when viewed in 4x2.5 format with lead II as the rhythm lead,8
Only the first 5 seconds of lead I are valid,9
Reserved for Database Conversion,10
Reserved for Database Conversion,11
Reserved for Database Conversion,12
The system removed serial comparison statements because,13
this ECG was not analyzed with 12SL,14
the 1st previous ECG was not analyzed with 12SL,15
this patient has a test analyzed with the HEART algorithm,16
Sinus rhythm,19
SINUS RHYTHM,19
(Atrial rate=,20
1st,21
SINUS BRADYCARDIA,21
Sinus Bradycardia,21
Normal sinus rhythm,22
SINUS TACHYCARDIA,23
Sinus tachycardia,23
Marked sinus bradycardia,24
Low right atrial bradycardia,25
Low right atrial tachycardia,26
Left atrial bradycardia,27
Left atrial tachycardia,28
Low light atrial rhythm,29
Left atrial rhythm,30
(no P-waves found),31
blocked,32
Blocked,32
Accelerated,33
Junctional bradycardia,34
Unusual P axis and short PR- probably junctional bradycardia,41
Unusual P axis and short PR- probable junctional bradycardia,41
Unusual P axis and short PR- probably junctional rhythm,42
Unusual P axis and short PR- probable junctional rhythm,42
Unusual P axis and short PR- probably junctional tachycardia,43
Unusual P axis and short PR- probable junctional tachycardia,43
Unusual P axis- possible ectopic atrial bradycardia,61
Unusual P axis- possible ectopic atrial rhythm,62
Unusual P axis- possible ectopic atrial tachycardia,63
Ectopic atrial rhythm,64
ECTOPIC ATRIAL RHYTHM,64
PR interval,100
with 1st degree AV block,101
  with pronounced 1st degree AV block,101
FIRST DEGREE AV BLOCK,101
 1st AV block,101
 1st AVB,101
 1st degree AV Block,101
 1st degree AV block,101
 1st degree block,101
  first degree ABV block,101
with 1st degree A-V block,101
with short PR,102
with 2nd degree AV block (Mobitz I),103
 2nd degree AV block Type I,103
with 2nd degree A-V block (Mobitz I),103
with 2nd degree AV block (Mobitz II),104
with 2nd degree A-V block (Mobitz II),104
MOBITZ II AV BLOCK,104
Second degree AV block- Mobitz II,104
with 2nd degree AV block,105
with 2nd degree A-V block,105
SECOND DEGREE AV BLOCK,105
with complete heart block,106
with variable AV block,107
with variable A-V block,107
with AV dissociation,108
with A-V dissociation,108
AV DISSOCIATION,108
AV dissociation,108
with 2nd degree SA block (Mobitz II),111
with 2nd degree SA block (Mobitz I),112
with sinus pause,113
Sinus pause,113
with 2:1 AV conduction,141
with 2:1 A-V conduction,141
with 3:1 AV conduction,142
with 3:1 A-V conduction,142
with 4:1 AV conduction,143
with 4:1 A-V conduction,143
with 5:1 AV conduction,144
with 5:1 A-V conduction,144
Atrial fibrillation,161
 Atrial Fibrillation,161
 Atrial fibrillation,161
 Atrial fibrillation has replaced normal sinus rhtyhm,161
  Underlying atrial fibrillation,161
  Atrial fibrillation has replaced sinus rhythm,161
   atrial fib still present,161
ATRIAL FIBRILLATION,161
Atrial flutter,162
Coarse,163
Atrialtachycardia,164
with rapid ventricular response,171
with slow ventricular response,172
with premature ventricular or aberrantly conductedcomplexes,173
with a competing junctional pacemaker,174
with undetermined rhythm irregularity,175
Irregular,176
with,177
or,178
and,179
with premature ventricular or aberrantly conducted complexes,181
atrial-pacedcomplexes,183
atrial-paced complexes,183
ATRIAL-PACED COMPLEXES,183
ventricular-pacedcomplexes,184
VENTRICULAR-PACED COMPLEXES,184
Ventricular-paced complexes,184
  and paced ventricular beats,184
ventricular-paced complexes,184
AV dual-paced complexes,185
ATRIAL-VENTRICULAR DUAL-PACED COMPLEXES,185
atrial-sensed ventricular-pacedcomplexes,186
ATRIAL-SENSED VENTRICULAR-PACED COMPLEXES,186
Atrial-sensed ventricular-paced complexes,186
sinus complexes,187
supraventricular complexes,188
intrinsic complexes,189
with prolonged AV conduction,190
with occasional,211
with frequent,212
premature supraventricular complexes,221
Premature supraventricular complexes,221
premature atrial complexes,222
Premature atrial complexes,222
  frequent pacs,222
  pacs,222
ATRIAL PREMATURE COMPLEX,222
Atrial premature complex,222
Atrial premature complexes,222
premature junctional complexes,223
Premature junctional complexes,223
premature ventricular complexes,231
  with PVCs,231
  and several PVCs,231
  as well as a single PVC,231
  and multiple PVCs,231
VENTRICULAR PREMATURE COMPLEX,231
   and a PVC,231
   with a single PVC,231
Ventricular premature complex,231
premature ventricular and fusion complexes,232
premature ventricular and fusion complexes,232
and consecutive,233
in a pattern of bigeminy,234
Wide QRS tachycardia,235
  Wide Complex Tachycardia ,235
Wide-QRS tachycardia,235
Narrow QRS tachycardia,236
Wide QRS rhythm,237
Idioventricularrhythm,238
Idioventricular rhythm,238
premature ectopic complexes,241
Premature ectopic complexes,241
with junctional escape complexes,242
with ventricular escape complexes,243
fusion complexes,244
Fusion complexes,244
with retrograde conduction,245
aberrant conduction,246
Aberrant conduction,246
sinus/atrial capture,247
Sinus/atrial capture,247
Ventriculartachycardia,248
Ventricular tachycardia,248
Ventricularfibrillation,249
Ventricular fibrillation,249
with sinus arrhythmia,251
Sinus arrhythmia,251
     Sinus arrhtymia is now present,251
with marked sinus arrhythmia,252
with marked sinus arrythmia,252
Probably sinus bradycardia- verify AV conduction,265
Supraventriculartachycardia,266
SUPRAVENTRICULAR TACHYCARDIA,266
Supraventricular tachycardia,266
Junctionalrhythm,267
Junctional rhythm,267
Idioventricular rhythm with AV block,268
Ventricularrhythm,269
Juncationaltachycardia,270
Supraventriculartachycardia,271
Ventricular tachycardia (ventricular or 
supraventricular with aberration),272
Atrial flutter,273
with ventricular fusion,274
with junctional escape,275
with escape beat,276
with transient ventricular tachycardia,277
with Mobitz I (Wenckebach) block,278
MOBITZ I AV BLOCK (WENCKEBACH),278
Second deg AVB- Mobitz I (Wenckebach),278
Possible wandering atrial pacemaker,279
Multifocal atrial tachycardia,280
Complete heart block,281
Suspect AV conduction defect,282
with intermittent aberrant ventricular conduction,283
with SA block or transient AV block,284
with sinus arrest or transient AV block,285
Low heart rate- veify AV conduction.,287
Atrial flutter with 2 to 1 block,288
Biventricular pacemaker detected,289
 Biventricular Pacing,289
 Biventricular capture,289
 Biventricular capture noted,289
 Biventricular paced,289
  Electronic biventricular pacemaker. underlying rhythm is sinus,289
Electronic ventricular pacemaker,290
Demand pacemaker- interpretation is based on intrinsic rhythm,291
Demand pacemaker-  interpretation is based on intrinsic rhythm,291
Electronic atrial pacemaker,292
 Atrial pacing,292
AV sequential or dual chamber electronic pacemaker,293
  AV sequential pacing is present,293
Electronic demand pacing,294
     Electronic demand ventricular pacing is now present,294
Atrial-paced rhythm,295
ATRIAL-PACED RHYTHM,295
Ventricular-pacedrhythm,296
VENTRICULAR-PACED RHYTHM,296
Ventricular-paced rhythm,296
Atrial-sensed ventricular-paced rhythm,297
ATRIAL-SENSED VENTRICULAR-PACED RHYTHM,297
Atrial-ventricular dual-paced rhythm,297
AV dual-paced rhythm,298
ATRIAL-VENTRICULAR DUAL-PACED RHYTHM,298
Undetermined rhythm,299
UNDETERMINED RHYTHM: REVIEW,299
Ventricular pre-excitation- WPW pattern type A,300
Ventricular pre-excitation- WPW pattern type B,302
Vent pre-excit&#39-n(WPW)- right access&#39-y pathway,302
with fusion or intermittent ventricular pre- excitation (WPW),303
with fusion or intermittent ventricular pre-excitation (WPW),303
Wolff-Parkinson-White,304
Clockwise rotation of the heart- may invalidate criteria for ventricular hypertrophy,305
Counter clockwise rotation of the heart- may invalidate criteria for ventricular hypertrophy,306
Dextrocardia,307
Currentundeterminedrhythmprecludes rhythm comparison- needs review,320
Current undetermined rhythm precludes rhythm comparison- needs review,320
Previous ECG has undetermined rhythm- needs review,321
Vent. rate,322
Rhythm,323
The premature contractions,324
Consecutive,325
with a demand pacemaker,326
Basic rhythm,327
Right atrial enlargement,350
Left atrial enlargement,360
Biatrial enlargement,369
Leftward axis,370
Abnormal left axis deviation,371
Left axis deviation,372
LEFT AXIS DEVIATION,372
Rightward axis,380
- Rightward axis- Vertical axis,380
Abnormal right axis deviation,381
Abnormal right superior axis deviation,382
Right axis deviation,383
RIGHT AXIS DEVIATION,383
Right superior axis deviation,384
Indeterminate axis,390
INDETERMINATE QRS AXIS,390
Northwest axis,391
QRS axis,395
shifted left,396
Shifted left,396
shifted right,397
Shifted right,397
Low voltage QRS,410
Pulmonary disease pattern,411
S1-S2-S3 pattern- consider pulmonary disease- RVH- or normal variant,412
Brugada pattern- type 1,435
Brugada pattern- type 2,436
Brugada pattern- type 3,437
Right bundle branch block,440
RIGHT BUNDLE BRANCH BLOCK,440
- plus right ventricular hypertrophy,441
Right bundle branch block -or- Right ventricular hypertrophy,442
Right bundle branch block -or- right ventricular hypertrophy,442
Incomplete right bundle branch block,445
INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,445
INCOMPLETE RIGHT RUNDLE BRANCH BLOCK,445
.,446
RSR&#39- or QR pattern in V1 suggests right ventricular conduction delay,450
RSR' or QR pattern in V1 suggests right ventricular conduction delay,450
RSR' pattern in V1,451
RSR&#39- pattern in V1,451
Left bundle branch block,460
LEFT BUNDLE BRANCH BLOCK,460
  LBBB,460
Incomplete left bundle branch block,465
INCOMPLETE LEFT BUNDLE BRANCH BLOCK,465
Left anterior fascicular block,470
LEFT ANTERIOR FASCICULAR BLOCK,470
