statement not found,1
** * pediatric ecg analysis * **,2
** ** ** ** * pediatric ecg analysis * ** ** ** **,2
-------------------- pediatric ecg interpretation --------------------,2
-------------------- pediatric ecg interpretation --------------------,2
*** age and gender specific ecg analysis ***,3
*** age and gender specific ecg analysis ***,3
age and gender specific software,3
** acute cardiac syndrome criteria **,4
report dictated- transcription pending,5
leads v2- v3- v4- and v6 are interpolated,6
waveform is valid only when viewed in 4x2.5 format with lead ii as the rhythm lead,8
only the first 5 seconds of lead i are valid,9
reserved for database conversion,10
reserved for database conversion,11
reserved for database conversion,12
the system removed serial comparison statements because,13
this ecg was not analyzed with 12sl,14
the 1st previous ecg was not analyzed with 12sl,15
this patient has a test analyzed with the heart algorithm,16
sinus rhythm,19
sinus rhythm,19
(atrial rate=,20
1st,21
sinus bradycardia,21
sinus bradycardia,21
normal sinus rhythm,22
sinus tachycardia,23
sinus tachycardia,23
marked sinus bradycardia,24
low right atrial bradycardia,25
low right atrial tachycardia,26
left atrial bradycardia,27
left atrial tachycardia,28
low light atrial rhythm,29
left atrial rhythm,30
(no p-waves found),31
blocked,32
blocked,32
accelerated,33
junctional bradycardia,34
unusual p axis and short pr- probably junctional bradycardia,41
unusual p axis and short pr- probable junctional bradycardia,41
unusual p axis and short pr- probably junctional rhythm,42
unusual p axis and short pr- probable junctional rhythm,42
unusual p axis and short pr- probably junctional tachycardia,43
unusual p axis and short pr- probable junctional tachycardia,43
unusual p axis- possible ectopic atrial bradycardia,61
unusual p axis- possible ectopic atrial rhythm,62
unusual p axis- possible ectopic atrial tachycardia,63
ectopic atrial rhythm,64
ectopic atrial rhythm,64
pr interval,100
with 1st degree av block,101
  with pronounced 1st degree av block,101
first degree av block,101
 1st av block,101
 1st avb,101
 1st degree av block,101
 1st degree av block,101
 1st degree block,101
  first degree abv block,101
with 1st degree a-v block,101
with short pr,102
with 2nd degree av block (mobitz i),103
 2nd degree av block type i,103
with 2nd degree a-v block (mobitz i),103
with 2nd degree av block (mobitz ii),104
with 2nd degree a-v block (mobitz ii),104
mobitz ii av block,104
second degree av block- mobitz ii,104
with 2nd degree av block,105
with 2nd degree a-v block,105
second degree av block,105
with complete heart block,106
with variable av block,107
with variable a-v block,107
with av dissociation,108
with a-v dissociation,108
av dissociation,108
av dissociation,108
with 2nd degree sa block (mobitz ii),111
with 2nd degree sa block (mobitz i),112
with sinus pause,113
sinus pause,113
with 2:1 av conduction,141
with 2:1 a-v conduction,141
with 3:1 av conduction,142
with 3:1 a-v conduction,142
with 4:1 av conduction,143
with 4:1 a-v conduction,143
with 5:1 av conduction,144
with 5:1 a-v conduction,144
atrial fibrillation,161
 atrial fibrillation,161
 atrial fibrillation,161
 atrial fibrillation has replaced normal sinus rhtyhm,161
  underlying atrial fibrillation,161
  atrial fibrillation has replaced sinus rhythm,161
   atrial fib still present,161
atrial fibrillation,161
atrial flutter,162
coarse,163
atrialtachycardia,164
with rapid ventricular response,171
with slow ventricular response,172
with premature ventricular or aberrantly conductedcomplexes,173
with a competing junctional pacemaker,174
with undetermined rhythm irregularity,175
irregular,176
with,177
or,178
and,179
with premature ventricular or aberrantly conducted complexes,181
atrial-pacedcomplexes,183
atrial-paced complexes,183
atrial-paced complexes,183
ventricular-pacedcomplexes,184
ventricular-paced complexes,184
ventricular-paced complexes,184
  and paced ventricular beats,184
ventricular-paced complexes,184
av dual-paced complexes,185
atrial-ventricular dual-paced complexes,185
atrial-sensed ventricular-pacedcomplexes,186
atrial-sensed ventricular-paced complexes,186
atrial-sensed ventricular-paced complexes,186
sinus complexes,187
supraventricular complexes,188
intrinsic complexes,189
with prolonged av conduction,190
with occasional,211
with frequent,212
premature supraventricular complexes,221
premature supraventricular complexes,221
premature atrial complexes,222
premature atrial complexes,222
  frequent pacs,222
  pacs,222
atrial premature complex,222
atrial premature complex,222
atrial premature complexes,222
premature junctional complexes,223
premature junctional complexes,223
premature ventricular complexes,231
  with pvcs,231
  and several pvcs,231
  as well as a single pvc,231
  and multiple pvcs,231
ventricular premature complex,231
   and a pvc,231
   with a single pvc,231
ventricular premature complex,231
premature ventricular and fusion complexes,232
premature ventricular and fusion complexes,232
and consecutive,233
in a pattern of bigeminy,234
wide qrs tachycardia,235
  wide complex tachycardia ,235
wide-qrs tachycardia,235
narrow qrs tachycardia,236
wide qrs rhythm,237
idioventricularrhythm,238
idioventricular rhythm,238
premature ectopic complexes,241
premature ectopic complexes,241
with junctional escape complexes,242
with ventricular escape complexes,243
fusion complexes,244
fusion complexes,244
with retrograde conduction,245
aberrant conduction,246
aberrant conduction,246
sinus/atrial capture,247
sinus/atrial capture,247
ventriculartachycardia,248
ventricular tachycardia,248
ventricularfibrillation,249
ventricular fibrillation,249
with sinus arrhythmia,251
sinus arrhythmia,251
     sinus arrhtymia is now present,251
with marked sinus arrhythmia,252
with marked sinus arrythmia,252
probably sinus bradycardia- verify av conduction,265
supraventriculartachycardia,266
supraventricular tachycardia,266
supraventricular tachycardia,266
junctionalrhythm,267
junctional rhythm,267
idioventricular rhythm with av block,268
ventricularrhythm,269
juncationaltachycardia,270
supraventriculartachycardia,271
ventricular tachycardia (ventricular or,272
supraventricular with aberration),272
atrial flutter,273
with ventricular fusion,274
with junctional escape,275
with escape beat,276
with transient ventricular tachycardia,277
with mobitz i (wenckebach) block,278
mobitz i av block (wenckebach),278
second deg avb- mobitz i (wenckebach),278
possible wandering atrial pacemaker,279
multifocal atrial tachycardia,280
complete heart block,281
suspect av conduction defect,282
with intermittent aberrant ventricular conduction,283
with sa block or transient av block,284
with sinus arrest or transient av block,285
low heart rate- veify av conduction.,287
atrial flutter with 2 to 1 block,288
biventricular pacemaker detected,289
 biventricular pacing,289
 biventricular capture,289
 biventricular capture noted,289
 biventricular paced,289
  electronic biventricular pacemaker. underlying rhythm is sinus,289
electronic ventricular pacemaker,290
demand pacemaker- interpretation is based on intrinsic rhythm,291
demand pacemaker-  interpretation is based on intrinsic rhythm,291
electronic atrial pacemaker,292
 atrial pacing,292
av sequential or dual chamber electronic pacemaker,293
  av sequential pacing is present,293
electronic demand pacing,294
     electronic demand ventricular pacing is now present,294
atrial-paced rhythm,295
atrial-paced rhythm,295
ventricular-pacedrhythm,296
ventricular-paced rhythm,296
ventricular-paced rhythm,296
atrial-sensed ventricular-paced rhythm,297
atrial-sensed ventricular-paced rhythm,297
atrial-ventricular dual-paced rhythm,297
av dual-paced rhythm,298
atrial-ventricular dual-paced rhythm,298
undetermined rhythm,299
undetermined rhythm: review,299
ventricular pre-excitation- wpw pattern type a,300
ventricular pre-excitation- wpw pattern type b,302
vent pre-excit&#39-n(wpw)- right access&#39-y pathway,302
with fusion or intermittent ventricular pre- excitation (wpw),303
with fusion or intermittent ventricular pre-excitation (wpw),303
wolff-parkinson-white,304
clockwise rotation of the heart- may invalidate criteria for ventricular hypertrophy,305
counter clockwise rotation of the heart- may invalidate criteria for ventricular hypertrophy,306
dextrocardia,307
currentundeterminedrhythmprecludes rhythm comparison- needs review,320
current undetermined rhythm precludes rhythm comparison- needs review,320
previous ecg has undetermined rhythm- needs review,321
vent. rate,322
rhythm,323
the premature contractions,324
consecutive,325
with a demand pacemaker,326
basic rhythm,327
right atrial enlargement,350
left atrial enlargement,360
biatrial enlargement,369
leftward axis,370
abnormal left axis deviation,371
left axis deviation,372
left axis deviation,372
rightward axis,380
- rightward axis- vertical axis,380
abnormal right axis deviation,381
abnormal right superior axis deviation,382
right axis deviation,383
right axis deviation,383
right superior axis deviation,384
indeterminate axis,390
indeterminate qrs axis,390
northwest axis,391
qrs axis,395
shifted left,396
shifted left,396
shifted right,397
shifted right,397
low voltage qrs,410
pulmonary disease pattern,411
s1-s2-s3 pattern- consider pulmonary disease- rvh- or normal variant,412
brugada pattern- type 1,435
brugada pattern- type 2,436
brugada pattern- type 3,437
right bundle branch block,440
right bundle branch block,440
- plus right ventricular hypertrophy,441
right bundle branch block -or- right ventricular hypertrophy,442
right bundle branch block -or- right ventricular hypertrophy,442
incomplete right bundle branch block,445
incomplete right bundle branch block,445
incomplete right rundle branch block,445
.,446
rsr&#39- or qr pattern in v1 suggests right ventricular conduction delay,450
rsr' or qr pattern in v1 suggests right ventricular conduction delay,450
rsr' pattern in v1,451
rsr&#39- pattern in v1,451
left bundle branch block,460
left bundle branch block,460
  lbbb,460
incomplete left bundle branch block,465
incomplete left bundle branch block,465
left anterior fascicular block,470
left anterior fascicular block,470
left posterior fascicular block,471
left posterior fascicular block,471
(rbbb and left anterior fascicular block),478
rbbb and lafb,478
rbbb and lafb,478
(rbbb and left posterior fascicular block),479
rbbb and lpfb,479
rbbb and lpfb,479
*** bifascicular block ***,480
trifascicular block,481
nonspecific intraventricular block,482
non-specific intra-ventricular conduction block,482
nonspecific intraventricular conduction delay,487
non-specific intra-ventricular conduction delay,0
non specific intraventricular conduction delay.,487
nonspecific intraventricular conduction delay,487
right ventricular hypertrophy,520
right ventricular hypertrophy,520
right ventricular hypertrophy with repolarization abnormality,521
r in avl,530
sokolow-lyon,531
cornell votage,532
cornell product,533
romhilt-estes,534
voltage criteria for left ventricular hypertrophy,540
lvh by voltage,540
left ventricular hypertrophy,541
lvh,541
left ventricular hypertrophy,541
minimal voltage criteria for lvh- may be normal variant,542
with qrs widening,543
with repolarization abnormality,544
with qrs widening and repolarization abnormality,545
moderate voltage criteria for lvh- may be normal variant,548
biventricularhypertrophy,570
biventricular hypertrophy,570
prominent mid-precordial voltage-,571
deep q wave in lead v6-,572
prominent posterior voltage,573
prominent lateral voltage,574
